family_id	mode_id	marker_id	marker_label	is_core	alias	support_dois
sulfur	thiosulfate_tetrathionate	soxA	SoxA	0	soxa	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	soxB	SoxB	1	soxb	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	soxC	SoxC	1	soxc	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	soxD	SoxD	0	soxd	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	soxX	SoxX	0	soxx	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	soxY	SoxY	1	soxy	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	soxZ	SoxZ	1	soxz	10.1111/j.1574-6968.2001.tb10600.x;10.1111/1574-6941.12056
sulfur	thiosulfate_tetrathionate	thiosulfate	Thiosulfate metabolism	0	thiosulfate	
sulfur	thiosulfate_tetrathionate	tsdA	Thiosulfate dehydrogenase	0	tsda	10.1002/lno.11759
sulfur	organosulfur	dmdA	DMSP demethylase	0	dmda	
sulfur	organosulfur	ssuD	Alkanesulfonate monooxygenase	1	ssud	
sulfur	organosulfur	sulfoquinovosidase	Sulfoquinovose degradation	0	sulfoquinovose	
sulfur	organosulfur	tauD	Taurine dioxygenase	1	taud	
sulfur	dmsp_dms	dddD	DMSP CoA-transferase/lyase DddD	0	dddd	
sulfur	dmsp_dms	dddD	DMSP CoA-transferase/lyase DddD	0	dmsp coenzyme a transferase/lyase	
sulfur	dmsp_dms	dddL	DMSP lyase DddL	0	dddl	
sulfur	dmsp_dms	dddP	DMSP lyase DddP	0	dddp	
sulfur	dmsp_dms	dddQ	DMSP lyase DddQ	0	dddq	
sulfur	dmsp_dms	dddW	DMSP lyase DddW	0	dddw	
sulfur	dmsp_dms	dddY	DMSP lyase DddY	0	dddy	
sulfur	dmsp_dms	dmdA	DMSP demethylase	0	dmda	
sulfur	dmsp_dms	dmdA	DMSP demethylase	0	dmsp demethylase	
sulfur	dmsp_dms	dms	Dimethyl sulfide metabolism	0	dimethyl sulfide	
sulfur	dmsp_dms	dmsp	DMSP metabolism	0	dmsp	
sulfur	dmsp_dms	dsyB	DMSP synthase DsyB	0	dsyb	
sulfur	dmsp_dms	mddA	Methanethiol S-methyltransferase	0	mdda	
sulfur	dmsp_dms	mddA	Methanethiol S-methyltransferase	0	methanethiol s-methyltransferase	
carbon_c1	reductive_tca	acl	ATP citrate lyase	1	acla	10.1128/JB.187.9.3020-3027.2005;10.1111/j.1462-2920.2006.01118.x
carbon_c1	reductive_tca	acl	ATP citrate lyase	1	aclb	10.1128/JB.187.9.3020-3027.2005;10.1111/j.1462-2920.2006.01118.x
carbon_c1	reductive_tca	acl	ATP citrate lyase	1	atp citrate lyase	10.1128/JB.187.9.3020-3027.2005;10.1111/j.1462-2920.2006.01118.x
carbon_c1	reductive_tca	ccs	Citryl-CoA synthetase	1	ccs	10.1111/j.1462-2920.2006.01118.x;10.3389/fmicb.2013.00084
carbon_c1	reductive_tca	ccs	Citryl-CoA synthetase	1	citryl-coa synthetase	10.1111/j.1462-2920.2006.01118.x;10.3389/fmicb.2013.00084
carbon_c1	reductive_tca	ccl	Citryl-CoA lyase	1	ccl	10.1111/j.1462-2920.2006.01118.x;10.3389/fmicb.2013.00084
carbon_c1	reductive_tca	ccl	Citryl-CoA lyase	1	citryl-coa lyase	10.1111/j.1462-2920.2006.01118.x;10.3389/fmicb.2013.00084
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	oor	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	kor	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	2-oxoglutarate:ferredoxin oxidoreductase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	2-oxoglutarate ferredoxin oxidoreductase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	oxoglutarate synthase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	por	Pyruvate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	por	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	por	Pyruvate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	pyruvate:ferredoxin oxidoreductase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	por	Pyruvate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	pyruvate ferredoxin oxidoreductase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	por	Pyruvate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	pyruvate synthase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	ogor	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	oor	2-oxoglutarate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	2-oxoglutarate synthase	10.1128/JB.187.9.3020-3027.2005
carbon_c1	reductive_tca	por	Pyruvate:ferredoxin oxidoreductase (supportive/shared central-carbon)	0	pfor	10.1128/JB.187.9.3020-3027.2005
